PeakID (cmd=annotatePeaks.pl tss mm10 -list 2020-04-06_Neutrophil_Expressed_Genes_from_STAR.txt -size -500,150 -CpG)	Chr	Start	End	Strand	Not Used	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	CpG%	GC%
NM_012001	chr5	100517809	100518459	+	0	NA	promoter-TSS (NM_012001)	promoter-TSS (NM_012001)	0	NM_012001	26891	Mm.957	NM_012001	ENSMUSG00000035297	Cops4	AW208976|D5Ertd774e|SGN4	COP9 signalosome subunit 4	protein-coding	0.047692	0.503840
NM_007496	chr8	108714144	108714794	+	0	NA	promoter-TSS (NM_007496)	promoter-TSS (NM_007496)	0	NM_007496	11906	Mm.416972	NM_007496	ENSMUSG00000038872	Zfhx3	A230102L03Rik|Atbf1|Sci|WBP9|mKIAA4228	zinc finger homeobox 3	protein-coding	0.058462	0.609831
NM_017479	chr14	21499285	21499935	+	0	NA	promoter-TSS (NM_001205241)	promoter-TSS (NM_001205241)	0	NM_017479	54169	Mm.248967	NM_017479	ENSMUSG00000021767	Kat6b	AI507552|B130044K16Rik|MYST-4|Morf|Myst4|mKIAA0383|qkf|querkopf	K(lysine) acetyltransferase 6B	protein-coding	0.093846	0.729647
NM_021547	chr11	98357868	98358518	+	0	NA	promoter-TSS (NM_021547)	promoter-TSS (NM_021547)	0	NM_021547	59045	Mm.265546	NM_021547	ENSMUSG00000018167	Stard3	Mln64|es64	START domain containing 3	protein-coding	0.053846	0.585253
NM_011275	chr12	28649102	28649752	+	0	NA	promoter-TSS (NM_011275)	promoter-TSS (NM_011275)	0	NM_011275	19819	Mm.10152	NM_011275	ENSMUSG00000020630	Rnaseh1	-	ribonuclease H1	protein-coding	0.055385	0.533026
NM_172153	chr5	45856402	45857052	-	0	NA	promoter-TSS (NM_172153)	promoter-TSS (NM_172153)	0	NM_172153	209707	Mm.71498	NM_172153	ENSMUSG00000015882	Lcorl	Mlr1	ligand dependent nuclear receptor corepressor-like	protein-coding	0.098462	0.683564
NM_001001738	chr19	47919173	47919823	-	0	NA	promoter-TSS (NM_001362459)	promoter-TSS (NM_001362459)	0	NM_001001738	414801	Mm.29457	NM_001001738	ENSMUSG00000117975	Itprip	4833424O12Rik|DANGER	inositol 1,4,5-triphosphate receptor interacting protein	protein-coding	0.060000	0.551459
NM_001001981	chr1	78657325	78657975	+	0	NA	promoter-TSS (NM_001136226)	promoter-TSS (NM_001136226)	0	NM_001001981	195434	Mm.276016	NM_001001981	ENSMUSG00000079470	Utp14b	4932411L21Rik|jsd	UTP14B small subunit processome component	protein-coding	0.089231	0.617512
NM_172912	chr8	86566440	86567090	-	0	NA	promoter-TSS (NM_172912)	promoter-TSS (NM_172912)	0	NM_172912	244562	Mm.67485	NM_172912	ENSMUSG00000036872	Abcc12	4930467B22Rik|MRP9	ATP-binding cassette, sub-family C (CFTR/MRP), member 12	protein-coding	0.016923	0.522273
NM_177613	chr10	79681695	79682345	+	0	NA	promoter-TSS (NM_001359818)	promoter-TSS (NM_001359818)	0	NM_177613	216150	Mm.21981	NM_177613	ENSMUSG00000020307	Cdc34	AI327276|E2-CDC34|UBE2R1	cell division cycle 34	protein-coding	0.146154	0.752688
NM_009223	chr16	11065798	11066448	+	0	NA	promoter-TSS (NM_009223)	promoter-TSS (NM_009223)	0	NM_009223	20621	Mm.325800	NM_009223	ENSMUSG00000037972	Snn	2810407J07Rik|AI848521|AW547286	stannin	protein-coding	0.072308	0.623656
NR_036602	chr4	33031173	33031823	-	0	NA	promoter-TSS (NR_036602)	promoter-TSS (NR_036602)	0	NR_036602	100504166	Mm.426309	NR_036602	ENSMUSG00000085037	4933421O10Rik	-	RIKEN cDNA 4933421O10 gene	ncRNA	0.172308	0.798771
NM_153785	chr11	52003721	52004371	+	0	NA	promoter-TSS (NM_001166655)	promoter-TSS (NM_001166655)	0	NM_153785	213084	Mm.280557	NM_153785	ENSMUSG00000020389	Cdkl3	AI852479|B230379H01Rik	cyclin-dependent kinase-like 3	protein-coding	0.058462	0.563748
NM_177186	chr4	155600916	155601566	+	0	NA	promoter-TSS (NM_177186)	promoter-TSS (NM_177186)	0	NM_177186	320541	Mm.306018	NM_177186	ENSMUSG00000042202	Slc35e2	A530082C11Rik|AI957035|Slc35e2a	solute carrier family 35, member E2	protein-coding	0.043077	0.536098
NM_009458	chr11	52000341	52000991	-	0	NA	promoter-TSS (NM_009458)	promoter-TSS (NM_009458)	0	NM_009458	22210	Mm.384918	NM_009458	ENSMUSG00000020390	Ube2b	E2-14k|E214K|HR6B|Rad6b|mHR6B	ubiquitin-conjugating enzyme E2B	protein-coding	0.089231	0.651306
NM_153410	chr2	26315033	26315683	+	0	NA	promoter-TSS (NM_001199146)	promoter-TSS (NM_001199146)	0	NM_153410	67839	Mm.266611	NM_153410	ENSMUSG00000026930	Gpsm1	1810037C22Rik|AW107933|Ags3	G-protein signalling modulator 1 (AGS3-like, C. elegans)	protein-coding	0.064615	0.626728
NM_175174	chr5	65130731	65131381	+	0	NA	promoter-TSS (NM_175174)	promoter-TSS (NM_175174)	0	NM_175174	71778	Mm.10281	NM_175174	ENSMUSG00000054920	Klhl5	1300013C10Rik	kelch-like 5	protein-coding	0.024615	0.436252
NM_009429	chr14	75844756	75845406	+	0	NA	promoter-TSS (NM_009429)	promoter-TSS (NM_009429)	0	NM_009429	22070	Mm.297482	NM_009429	ENSMUSG00000060126	Tpt1	TCTP|Trt|p21|p23	tumor protein, translationally-controlled 1	protein-coding	0.118462	0.709677
NM_008702	chr11	78697275	78697925	-	0	NA	promoter-TSS (NM_008702)	promoter-TSS (NM_008702)	0	NM_008702	18099	Mm.9001	NM_008702	ENSMUSG00000017376	Nlk	AI194375	nemo like kinase	protein-coding	0.066154	0.566820
NM_029103	chr9	106891788	106892438	-	0	NA	promoter-TSS (NM_029103)	promoter-TSS (NM_029103)	0	NM_029103	74840	Mm.29778	NM_029103	ENSMUSG00000032575	Manf	3230402M22Rik|AA407711|AA408789|AA673178|Armet|D17914|D18Mgi17	mesencephalic astrocyte-derived neurotrophic factor	protein-coding	0.081538	0.640553
NM_021606	chr2	38511197	38511847	+	0	NA	promoter-TSS (NM_021606)	promoter-TSS (NM_021606)	0	NM_021606	59126	Mm.143818	NM_021606	ENSMUSG00000026749	Nek6	1300007C09Rik	NIMA (never in mitosis gene a)-related expressed kinase 6	protein-coding	0.081538	0.628264
NM_177390	chr11	80779875	80780525	-	0	NA	promoter-TSS (NM_177390)	promoter-TSS (NM_177390)	0	NM_177390	338367	Mm.151948	NM_177390	ENSMUSG00000035441	Myo1d	9930104H07Rik|AW544947|D11Ertd9e|myosin-1d	myosin ID	protein-coding	0.084615	0.628264
NR_033168	chr12	111540446	111541096	+	0	NA	promoter-TSS (NR_033168)	promoter-TSS (NR_033168)	0	NR_033168	100316932	Mm.484709	NR_033168	ENSMUSG00000064493	Snora28	MBI-13	small nucleolar RNA, H/ACA box 28	snoRNA	0.006154	0.377880
NM_026664	chr11	76179488	76180138	-	0	NA	promoter-TSS (NM_001364738)	promoter-TSS (NM_001364738)	0	NM_026664	68299	Mm.46397	NM_026664	ENSMUSG00000017288	Vps53	2010002A08Rik|2310040I21Rik|3100002B05Rik|Hccs1	VPS53 GARP complex subunit	protein-coding	0.055385	0.599078
NM_025820	chr2	145934550	145935200	-	0	NA	promoter-TSS (NM_025820)	promoter-TSS (NM_025820)	0	NM_025820	66877	Mm.248755	NM_025820	ENSMUSG00000001767	Crnkl1	1200013P10Rik|5730590A01Rik|C80326|crn	crooked neck pre-mRNA splicing factor 1	protein-coding	0.066154	0.552995
NM_133672	chr10	62486655	62487305	-	0	NA	promoter-TSS (NM_001113355)	promoter-TSS (NM_001113355)	0	NM_133672	30930	Mm.260703	NM_133672	ENSMUSG00000020078	Vps26a	AA407240|HB58|Vps26	VPS26 retromer complex component A	protein-coding	0.073846	0.629800
NM_001033548	chr7	4532315	4532965	-	0	NA	promoter-TSS (NM_001033548)	promoter-TSS (NM_001033548)	0	NM_001033548	436022	Mm.425359	NM_001033548	ENSMUSG00000055809	Dnaaf3	6030429G01Rik|b2b1739Clo	dynein, axonemal assembly factor 3	protein-coding	0.027692	0.494624
NM_008569	chr2	128687245	128687895	-	0	NA	promoter-TSS (NM_008569)	promoter-TSS (NM_008569)	0	NM_008569	17222	Mm.277408	NM_008569	ENSMUSG00000014355	Anapc1	2610021O03Rik|AI047775|AI853536|AW547281|Apc1|Mcpr|tsg24	anaphase promoting complex subunit 1	protein-coding	0.038462	0.473118
NM_144512	chr6	121299788	121300438	+	0	NA	promoter-TSS (NM_144512)	promoter-TSS (NM_144512)	0	NM_144512	14412	Mm.258596	NM_144512	ENSMUSG00000030108	Slc6a13	GAT3|Gabt3|Gat2	solute carrier family 6 (neurotransmitter transporter, GABA), member 13	protein-coding	0.018462	0.502304
NM_013558	chr17	34972203	34972853	+	0	NA	promoter-TSS (NM_013558)	promoter-TSS (NM_013558)	0	NM_013558	15482	Mm.14287	NM_013558	ENSMUSG00000007033	Hspa1l	Hsc70t|Msh5	heat shock protein 1-like	protein-coding	0.041538	0.565284
NR_038060	chr12	69475400	69476050	-	0	NA	promoter-TSS (NR_038060)	promoter-TSS (NR_038060)	0	NR_038060	76062	Mm.380755	NR_038060	ENSMUSG00000113035	5830428M24Rik	100040862|Gm3007	RIKEN cDNA 5830428M24 gene	ncRNA	0.018462	0.468510
NM_144933	chr9	15279756	15280406	-	0	NA	promoter-TSS (NM_001364533)	promoter-TSS (NM_001364533)	0	NM_144933	234959	Mm.44151	NM_144933	ENSMUSG00000031935	Med17	77kDa|C330002H14Rik|Crsp6|Trap80	mediator complex subunit 17	protein-coding	0.066154	0.539171
NM_011585	chr6	86403719	86404369	+	0	NA	promoter-TSS (NM_001164078)	promoter-TSS (NM_001164078)	0	NM_011585	21841	Mm.333219	NM_011585	ENSMUSG00000071337	Tia1	2310050N03Rik|AI256674|TIA-1|mTIA-1	cytotoxic granule-associated RNA binding protein 1	protein-coding	0.056923	0.483871
NM_023343	chr1	91398673	91399323	-	0	NA	promoter-TSS (NM_023343)	promoter-TSS (NM_023343)	0	NM_023343	67444	Mm.337240	NM_023343	ENSMUSG00000026309	Ilkap	0710007A14Rik|1600009O09Rik|PP2C-DELTA	integrin-linked kinase-associated serine/threonine phosphatase 2C	protein-coding	0.070769	0.602151
NM_021883	chr4	46038722	46039372	+	0	NA	promoter-TSS (NM_021883)	promoter-TSS (NM_021883)	0	NM_021883	21916	Mm.249594	NM_021883	ENSMUSG00000028328	Tmod1	E-Tmod|Tmod	tropomodulin 1	protein-coding	0.076923	0.615975
NM_133780	chr1	150392338	150392988	+	0	NA	promoter-TSS (NM_133780)	promoter-TSS (NM_133780)	0	NM_133780	108989	Mm.174256	NM_133780	ENSMUSG00000006005	Tpr	2610029M07Rik|C77892	translocated promoter region, nuclear basket protein	protein-coding	0.043077	0.520737
NM_145392	chr1	33757600	33758250	-	0	NA	promoter-TSS (NM_145392)	promoter-TSS (NM_145392)	0	NM_145392	213539	Mm.247037	NM_145392	ENSMUSG00000042215	Bag2	2610042A13Rik|BC016230	BCL2-associated athanogene 2	protein-coding	0.078462	0.628264
NM_011399	chr15	81360615	81361265	-	0	NA	promoter-TSS (NM_011399)	promoter-TSS (NM_011399)	0	NM_011399	20524	Mm.222536	NM_011399	ENSMUSG00000022404	Slc25a17	34kDa|47kDa|PMP34|Pmp47	solute carrier family 25 (mitochondrial carrier, peroxisomal membrane protein), member 17	protein-coding	0.038462	0.549923
NM_020027	chr17	35164727	35165377	-	0	NA	promoter-TSS (NM_020027)	promoter-TSS (NM_020027)	0	NM_020027	53761	Mm.272462	NM_020027	ENSMUSG00000024393	Prrc2a	3110039B05Rik|Bat-2|Bat2|D17H6S51E|G2|Wbp12|mKIAA4178	proline-rich coiled-coil 2A	protein-coding	0.096923	0.640553
NM_008202	chr17	34031540	34032190	-	0	NA	promoter-TSS (NM_001205215)	promoter-TSS (NM_001205215)	0	NM_008202	14977	Mm.18556	NM_008202	ENSMUSG00000024327	Slc39a7	AA408174|AI117660|AL024048|H-2Ke4|H2-Ke4|Ke-4|Ke4|Ring5|Zip7	solute carrier family 39 (zinc transporter), member 7	protein-coding	0.132308	0.734255
NM_153800	chr14	33216323	33216973	+	0	NA	promoter-TSS (NM_153800)	promoter-TSS (NM_153800)	0	NM_153800	239027	Mm.318350	NM_153800	ENSMUSG00000063506	Arhgap22	B230341L19Rik|RHOGAP2|p68RacGAP	Rho GTPase activating protein 22	protein-coding	0.018462	0.471582
NM_008329	chr1	173766769	173767419	-	0	NA	promoter-TSS (NM_008329)	promoter-TSS (NM_008329)	0	NM_008329	15951	Mm.261270	NM_008329	ENSMUSG00000073489	Ifi204	Ifi16|p204	interferon activated gene 204	protein-coding	0.006154	0.425499
NM_133991	chrX	8252256	8252906	-	0	NA	promoter-TSS (NM_133991)	promoter-TSS (NM_133991)	0	NM_133991	54632	Mm.327529	NM_133991	ENSMUSG00000031171	Ftsj1	AI931847|Ftsj|Ftsjl|Sfc12	FtsJ RNA methyltransferase homolog 1 (E. coli)	protein-coding	0.061538	0.502304
NM_008957	chr13	63565585	63566235	-	0	NA	promoter-TSS (NM_008957)	promoter-TSS (NM_008957)	0	NM_008957	19206	Mm.228798	NM_008957	ENSMUSG00000021466	Ptch1	A230106A15Rik|Ptc|Ptc1|Ptch|mes|wig	patched 1	protein-coding	0.126154	0.711214
NM_012024	chr12	75596082	75596732	-	0	NA	promoter-TSS (NM_012024)	promoter-TSS (NM_012024)	0	NM_012024	26932	Mm.259626	NM_012024	ENSMUSG00000021051	Ppp2r5e	4633401M22Rik|B56beta	protein phosphatase 2, regulatory subunit B', epsilon	protein-coding	0.109231	0.692780
NM_024290	chr7	143685725	143686375	-	0	NA	promoter-TSS (NM_001308111)	promoter-TSS (NM_001308111)	0	NM_024290	79201	Mm.290780	NM_024290	ENSMUSG00000037613	Tnfrsf23	SOB|TNFRSFH23|Tnfrh1|Tnfrsf1al1|mDcTRAILR1|mSOB	tumor necrosis factor receptor superfamily, member 23	protein-coding	0.024615	0.462366
NM_009847	chr17	42876274	42876924	-	0	NA	promoter-TSS (NM_009847)	promoter-TSS (NM_009847)	0	NM_009847	12488	Mm.218637	NM_009847	ENSMUSG00000061665	Cd2ap	AL024079|C78928|METS-1|Mets1	CD2-associated protein	protein-coding	0.118462	0.728111
NM_009983	chr7	142387677	142388327	-	0	NA	promoter-TSS (NM_009983)	promoter-TSS (NM_009983)	0	NM_009983	13033	Mm.231395	NM_009983	ENSMUSG00000007891	Ctsd	CD|CatD	cathepsin D	protein-coding	0.070769	0.620584
NM_178704	chr7	35754304	35754954	-	0	NA	promoter-TSS (NM_178704)	promoter-TSS (NM_178704)	0	NM_178704	233115	Mm.257808	NM_178704	ENSMUSG00000043671	Dpy19l3	6030410G08|9330164H19Rik	dpy-19-like 3 (C. elegans)	protein-coding	0.066154	0.606759
NR_045840	chr8	27142410	27143060	+	0	NA	promoter-TSS (NR_045840)	promoter-TSS (NR_045840)	0	NR_045840	71082	Mm.395259	NR_045840		4933416M07Rik	-	RIKEN cDNA 4933416M07 gene	ncRNA	0.024615	0.470046
NM_011406	chr17	81738237	81738887	-	0	NA	promoter-TSS (NR_104580)	promoter-TSS (NR_104580)	0	NM_011406	20541	Mm.265834	NM_011406	ENSMUSG00000054640	Slc8a1	AI852629|AV344025|D930008O12Rik|Ncx1	solute carrier family 8 (sodium/calcium exchanger), member 1	protein-coding	0.024615	0.460829
NM_026908	chr14	59440463	59441113	+	0	NA	promoter-TSS (NM_001360591)	promoter-TSS (NM_001360591)	0	NM_026908	69008	Mm.179091	NM_026908	ENSMUSG00000021981	Cab39l	1500031K13Rik|2810425O13Rik|4930520C08Rik|AA589432|MO2L	calcium binding protein 39-like	protein-coding	0.075385	0.605223
NM_146006	chr10	76531105	76531755	+	0	NA	promoter-TSS (NM_146006)	promoter-TSS (NM_146006)	0	NM_146006	16987	Mm.55075	NM_146006	ENSMUSG00000033105	Lss	2810025N20Rik|D10Ertd116e|Osc	lanosterol synthase	protein-coding	0.078462	0.665131
NR_110420	chr1	150164798	150165448	-	0	NA	promoter-TSS (NR_110420)	promoter-TSS (NR_110420)	0	NR_110420	102639566	Mm.417208	NR_110420	ENSMUSG00000097754	Ptgs2os2	Gm26687|Linc-cox2|Lincrna-cox2	prostaglandin-endoperoxide synthase 2, opposite strand 2	ncRNA	0.027692	0.459293
NM_011626	chr5	76183380	76184030	+	0	NA	promoter-TSS (NM_011626)	promoter-TSS (NM_011626)	0	NM_011626	21982	Mm.790	NM_011626	ENSMUSG00000029234	Tmem165	AV026557|Tpardl|Tparl|pFT27	transmembrane protein 165	protein-coding	0.063077	0.603687
NM_181470	chr10	13192987	13193637	-	0	NA	promoter-TSS (NM_181470)	promoter-TSS (NM_181470)	0	NM_181470	353258	Mm.117581	NM_181470	ENSMUSG00000019814	Ltv1	2610020N02Rik	LTV1 ribosome biogenesis factor	protein-coding	0.047692	0.556068
NM_027341	chr16	48993962	48994612	-	0	NA	promoter-TSS (NM_027341)	promoter-TSS (NM_027341)	0	NM_027341	224170	Mm.275138	NM_027341	ENSMUSG00000064061	Dzip3	2310047C04Rik|2A-HUB|6430549P11Rik|A230104G20	DAZ interacting protein 3, zinc finger	protein-coding	0.072308	0.637481
NM_019635	chr15	35155656	35156306	-	0	NA	promoter-TSS (NM_001357821)	promoter-TSS (NM_001357821)	0	NM_019635	56274	Mm.262330	NM_019635	ENSMUSG00000022329	Stk3	0610042I06Rik|MST|Mst2|Mst3|Ste20|mess1	serine/threonine kinase 3	protein-coding	0.058462	0.589862
NM_026539	chr3	97610040	97610690	-	0	NA	promoter-TSS (NM_026539)	promoter-TSS (NM_026539)	0	NM_026539	68058	Mm.31761	NM_026539	ENSMUSG00000028089	Chd1l	4432404A22Rik|Alc1|Snf2p	chromodomain helicase DNA binding protein 1-like	protein-coding	0.063077	0.534562
NM_026033	chr5	3647786	3648436	-	0	NA	promoter-TSS (NM_026033)	promoter-TSS (NM_026033)	0	NM_026033	67210	Mm.178424	NM_026033	ENSMUSG00000007415	Gatad1	2310031E19Rik|2810047M21Rik|8430439A17Rik|9130430G15Rik|B330017N08Rik|Odag	GATA zinc finger domain containing 1	protein-coding	0.058462	0.594470
NM_028774	chr5	146221307	146221957	-	0	NA	promoter-TSS (NM_001256087)	promoter-TSS (NM_001256087)	0	NM_028774	74132	Mm.26696	NM_028774	ENSMUSG00000029634	Rnf6	1200013I08Rik|5730419H05Rik|AA537053	ring finger protein (C3H2C3 type) 6	protein-coding	0.064615	0.533026
NM_207633	chrX	98937281	98937931	+	0	NA	promoter-TSS (NM_207633)	promoter-TSS (NM_207633)	0	NM_207633	77929	Mm.212290	NM_207633	ENSMUSG00000047694	Yipf6	A430107J06Rik	Yip1 domain family, member 6	protein-coding	0.066154	0.608295
NM_145519	chr1	93511604	93512254	+	0	NA	promoter-TSS (NM_145519)	promoter-TSS (NM_145519)	0	NM_145519	227377	Mm.243091	NM_145519	ENSMUSG00000034066	Farp2	AI465173|BC009153|D030026M03Rik|Fir|mKIAA0793	FERM, RhoGEF and pleckstrin domain protein 2	protein-coding	0.092308	0.689708
NM_008947	chr12	100111831	100112481	+	0	NA	promoter-TSS (NM_008947)	promoter-TSS (NM_008947)	0	NM_008947	19179	Mm.157105	NM_008947	ENSMUSG00000021178	Psmc1	AI325227|P26s4|Rpt2/S4|S4|rpt2	protease (prosome, macropain) 26S subunit, ATPase 1	protein-coding	0.018462	0.482335
NM_145443	chr12	69724724	69725374	-	0	NA	promoter-TSS (NM_145443)	promoter-TSS (NM_145443)	0	NM_145443	217666	Mm.103362	NM_145443	ENSMUSG00000020988	L2hgdh	BC016226	L-2-hydroxyglutarate dehydrogenase	protein-coding	0.086154	0.669739
NM_010302	chr5	140830281	140830931	-	0	NA	promoter-TSS (NM_010302)	promoter-TSS (NM_010302)	0	NM_010302	14673	Mm.370185	NM_010302	ENSMUSG00000000149	Gna12	AI414047|AI504261|Galpha12	guanine nucleotide binding protein, alpha 12	protein-coding	0.080000	0.632873
NM_011343	chr11	16508334	16508984	-	0	NA	promoter-TSS (NM_011343)	promoter-TSS (NM_011343)	0	NM_011343	20335	Mm.325350	NM_011343	ENSMUSG00000078974	Sec61g	-	SEC61, gamma subunit	protein-coding	0.024615	0.403994
NM_153586	chrX	139998445	139999095	-	0	NA	promoter-TSS (NM_001172147)	promoter-TSS (NM_001172147)	0	NM_153586	237073	Mm.256670	NM_153586	ENSMUSG00000031433	Rbm41	BB131279|D330023I21Rik	RNA binding motif protein 41	protein-coding	0.015385	0.411674
NM_027901	chr5	31179994	31180644	-	0	NA	promoter-TSS (NM_027901)	promoter-TSS (NM_027901)	0	NM_027901	71752	Mm.271923	NM_027901	ENSMUSG00000106864	Gtf3c2	1300004C11Rik|2610510G03Rik|AI225816|AU041069|TFIIIC110|mKIAA0011	general transcription factor IIIC, polypeptide 2, beta	protein-coding	0.056923	0.566820
NM_027495	chr3	79842512	79843162	-	0	NA	promoter-TSS (NM_027495)	promoter-TSS (NM_027495)	0	NM_027495	70652	Mm.46635	NM_027495	ENSMUSG00000027956	Tmem144	1110057I03Rik|5730537D05Rik	transmembrane protein 144	protein-coding	0.038462	0.522273
NM_145950	chr4	16013738	16014388	-	0	NA	promoter-TSS (NM_145950)	promoter-TSS (NM_145950)	0	NM_145950	209212	Mm.46455	NM_145950	ENSMUSG00000041153	Osgin2	BC010311|C230027H09Rik	oxidative stress induced growth inhibitor family member 2	protein-coding	0.118462	0.728111
NM_144522	chr7	127208318	127208968	-	0	NA	promoter-TSS (NM_001347655)	promoter-TSS (NM_001347655)	0	NM_144522	68449	Mm.41420	NM_144522	ENSMUSG00000042492	Tbc1d10b	1110003P22Rik|C87963	TBC1 domain family, member 10b	protein-coding	0.112308	0.674347
NM_010282	chr13	14063338	14063988	-	0	NA	promoter-TSS (NM_010282)	promoter-TSS (NM_010282)	0	NM_010282	14593	Mm.148039	NM_010282	ENSMUSG00000021302	Ggps1	1810026C22Rik|9530089B04Rik|AI843169|C79210	geranylgeranyl diphosphate synthase 1	protein-coding	0.072308	0.602151
NM_009952	chr1	64532304	64532954	+	0	NA	promoter-TSS (NM_009952)	promoter-TSS (NM_009952)	0	NM_009952	12912	Mm.422634	NM_009952	ENSMUSG00000025958	Creb1	2310001E10Rik|3526402H21Rik|AV083133|Creb|Creb-1	cAMP responsive element binding protein 1	protein-coding	0.101538	0.685100
NM_172416	chr10	42678416	42679066	+	0	NA	promoter-TSS (NM_172416)	promoter-TSS (NM_172416)	0	NM_172416	14628	Mm.46636	NM_172416	ENSMUSG00000038280	Ostm1	1200002H13Rik|HSPC019|gl	osteopetrosis associated transmembrane protein 1	protein-coding	0.060000	0.583717
NM_133998	chr10	77515663	77516313	-	0	NA	promoter-TSS (NM_133998)	promoter-TSS (NM_133998)	0	NM_133998	108707	Mm.259547	NM_133998	ENSMUSG00000032977	Fam207a	1810008A18Rik|AI303072	family with sequence similarity 207, member A	protein-coding	0.083077	0.582181
NM_019655	chr3	89730218	89730868	+	0	NA	promoter-TSS (NM_019655)	promoter-TSS (NM_019655)	0	NM_019655	56417	Mm.316628	NM_019655	ENSMUSG00000027951	Adar	AV242451|Adar1|Adar1p110|Adar1p150|DRADA|mZaADAR	adenosine deaminase, RNA-specific	protein-coding	0.030769	0.526882
NM_009924	chr4	135894689	135895339	+	0	NA	promoter-TSS (NM_009924)	promoter-TSS (NM_009924)	0	NM_009924	12802	Mm.297251	NM_009924	ENSMUSG00000062585	Cnr2	CB-2|CB2|CB2-R	cannabinoid receptor 2 (macrophage)	protein-coding	0.007692	0.482335
NM_024256	chr19	8919893	8920543	+	0	NA	promoter-TSS (NM_024256)	promoter-TSS (NM_024256)	0	NM_024256	72727	Mm.259	NM_024256	ENSMUSG00000071649	B3gat3	2810405M13Rik	beta-1,3-glucuronyltransferase 3 (glucuronosyltransferase I)	protein-coding	0.047692	0.551459
NM_175229	chr17	23802687	23803337	+	0	NA	promoter-TSS (NM_175229)	promoter-TSS (NM_175229)	0	NM_175229	75956	Mm.5222	NM_175229	ENSMUSG00000039218	Srrm2	5033413A03Rik|AA410130|SRm300|mKIAA0324	serine/arginine repetitive matrix 2	protein-coding	0.092308	0.619048
NM_001033202	chr5	114099833	114100483	+	0	NA	promoter-TSS (NM_001033202)	promoter-TSS (NM_001033202)	0	NM_001033202	100756	Mm.240421	NM_001033202	ENSMUSG00000029592	Usp30	6330590F17Rik|AI851327|D5Ertd483e	ubiquitin specific peptidase 30	protein-coding	0.076923	0.585253
NM_013560	chr5	135887419	135888069	+	0	NA	promoter-TSS (NM_013560)	promoter-TSS (NM_013560)	0	NM_013560	15507	Mm.13849	NM_013560	ENSMUSG00000004951	Hspb1	27kDa|Hsp25	heat shock protein 1	protein-coding	0.036923	0.551459
NM_009848	chr19	40659270	40659920	+	0	NA	promoter-TSS (NM_009848)	promoter-TSS (NM_009848)	0	NM_009848	12495	Mm.2824	NM_009848	ENSMUSG00000048120	Entpd1	2610206B08Rik|AA408691|Cd39|E130009M23Rik|NTPDase-1	ectonucleoside triphosphate diphosphohydrolase 1	protein-coding	0.016923	0.437788
NM_007652	chr2	104095301	104095951	+	0	NA	promoter-TSS (NM_001111060)	promoter-TSS (NM_001111060)	0	NM_007652	12509	Mm.247265	NM_007652	ENSMUSG00000032679	Cd59a	AA987121|Cd59|protectin	CD59a antigen	protein-coding	0.007692	0.459293
NM_001167860	chr6	54429186	54429836	+	0	NA	promoter-TSS (NM_001167860)	promoter-TSS (NM_001167860)	0	NM_001167860	330319	Mm.434326	NM_001167860	ENSMUSG00000086040	Wipf3	9030621G03|BQ952480	WAS/WASL interacting protein family, member 3	protein-coding	0.087692	0.663594
NM_029420	chr7	126695633	126696283	-	0	NA	promoter-TSS (NM_029420)	promoter-TSS (NM_029420)	0	NM_029420	75764	Mm.280573	NM_029420	ENSMUSG00000059772	Slx1b	1110030E23Rik|2410170E21Rik|4833422P03Rik|AI853643|Giyd1|Giyd2	SLX1 structure-specific endonuclease subunit homolog B (S. cerevisiae)	protein-coding	0.072308	0.634409
NM_008853	chrX	99470585	99471235	-	0	NA	promoter-TSS (NM_001290555)	promoter-TSS (NM_001290555)	0	NM_008853	18744	Mm.8211	NM_008853	ENSMUSG00000034403	Pja1	praja-1	praja ring finger ubiquitin ligase 1	protein-coding	0.050769	0.479263
NM_001025613	chr3	96104027	96104677	+	0	NA	promoter-TSS (NM_001025614)	promoter-TSS (NM_001025614)	0	NM_001025613	229603	Mm.272336	NM_001025613	ENSMUSG00000038495	Otud7b	2900060B22Rik|4930463P07Rik|AI462125|CEZANNE|Trabid2|Za20d1	OTU domain containing 7B	protein-coding	0.087692	0.639017
NM_001008502	chr3	37312054	37312704	+	0	NA	promoter-TSS (NM_001255992)	promoter-TSS (NM_001255992)	0	NM_001008502	241950	Mm.32171	NM_001008502	ENSMUSG00000051444	Bbs12	Gm1805|Gm407|Gm721	Bardet-Biedl syndrome 12 (human)	protein-coding	0.067692	0.632873
NR_110517	chr9	71168276	71168926	+	0	NA	promoter-TSS (NR_110517)	promoter-TSS (NR_110517)	0	NR_110517	102635087	Mm.444536	NR_110517	ENSMUSG00000111429	Gm32511	-	predicted gene, 32511	ncRNA	0.021538	0.465438
NM_029767	chr7	3703541	3704191	+	0	NA	promoter-TSS (NM_029767)	promoter-TSS (NM_029767)	0	NM_029767	76846	Mm.13944	NM_029767	ENSMUSG00000006333	Rps9	3010033P07Rik|AL022771|AL022885	ribosomal protein S9	protein-coding	0.041538	0.505376
